CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12415.0,71,10,44582.79,2,Mid Value
12471.0,152,12,10309.97,2,Mid Value
12569.0,1,18,2534.95,2,Mid Value
12682.0,3,16,7288.08,2,Mid Value
12748.0,5,106,14154.13,2,Mid Value
12921.0,36,20,7377.78,2,Mid Value
12931.0,33,5,35265.76,2,Mid Value
12971.0,10,35,3877.92,2,Mid Value
13069.0,3,14,2825.74,2,Mid Value
13081.0,61,6,17893.61,2,Mid Value
13089.0,7,37,27867.5,2,Mid Value
13098.0,34,17,19025.14,2,Mid Value
13102.0,40,13,3843.97,2,Mid Value
13319.0,61,15,6712.74,2,Mid Value
13408.0,4,22,10221.25,2,Mid Value
13468.0,1,21,3397.3,2,Mid Value
13694.0,67,18,19940.56,2,Mid Value
13767.0,34,17,8407.1,2,Mid Value
13777.0,90,18,12215.31,2,Mid Value
13798.0,2,29,21790.46,2,Mid Value
14096.0,61,6,19798.67,2,Mid Value
14156.0,1,24,37347.95,2,Mid Value
14298.0,91,10,16044.25,2,Mid Value
14527.0,2,19,3456.48,2,Mid Value
14606.0,6,38,5057.57,2,Mid Value
14667.0,69,13,4831.65,2,Mid Value
14849.0,3,15,4256.8,2,Mid Value
15039.0,71,20,8524.26,2,Mid Value
15061.0,6,28,31902.3,2,Mid Value
15098.0,66,3,39916.5,2,Mid Value
15159.0,32,14,6671.65,2,Mid Value
15189.0,7,18,6206.29,2,Mid Value
15311.0,1,41,32300.0,2,Mid Value
15498.0,6,12,6030.88,2,Mid Value
15502.0,32,10,9736.98,2,Mid Value
15769.0,91,10,21802.68,2,Mid Value
15838.0,64,9,23307.78,2,Mid Value
15856.0,34,14,9479.69,2,Mid Value
16013.0,3,26,19403.16,2,Mid Value
16029.0,31,33,48851.67,2,Mid Value
16133.0,30,14,5523.83,2,Mid Value
16210.0,67,11,15447.19,2,Mid Value
16333.0,125,14,20637.36,2,Mid Value
16422.0,31,20,14663.57,2,Mid Value
16525.0,10,15,7795.37,2,Mid Value
16684.0,213,7,36992.9,2,Mid Value
16779.0,10,12,5394.71,2,Mid Value
16839.0,2,16,8470.8,2,Mid Value
17243.0,30,13,4359.81,2,Mid Value
17315.0,6,14,2408.46,2,Mid Value
17381.0,3,22,17101.25,2,Mid Value
17389.0,10,16,20486.0,2,Mid Value
17428.0,7,16,8641.94,2,Mid Value
17450.0,4,11,35824.22,2,Mid Value
17511.0,7,15,49108.16,2,Mid Value
17581.0,67,17,5998.92,2,Mid Value
17675.0,4,14,7928.51,2,Mid Value
17677.0,30,12,6824.29,2,Mid Value
17757.0,65,14,2281.51,2,Mid Value
17811.0,2,19,2871.55,2,Mid Value
17841.0,1,53,17336.18,2,Mid Value
17850.0,667,34,5391.21,2,Mid Value
17857.0,33,11,14867.68,2,Mid Value
17949.0,4,21,14169.32,2,Mid Value
18109.0,5,15,4589.75,2,Mid Value
